cluster,category,overlap,p_enrich,weighted,rank
7,Fibroblast,10,0.9991526587761409,19.056256700000002,1
7,Chondrocyte,10,0.5425207189549386,17.8994072,2
7,Progenitor_Haem,9,0.9999999999996787,13.09400269,3
70,Lymphoid_Haem,32,0.9999902295180138,167.81300797,1
70,Myeloid_Haem,24,1.0,115.64491340000002,2
70,Progenitor_Haem,13,0.9999999997903002,48.22475706,3
71,Fibroblast,10,0.9784075783388765,19.737306630000003,1
71,Endothelial,5,0.9996952150737107,6.70247885,2
71,Muscle,2,0.9999984546497829,6.420598999999999,3
72,Lymphoid_Haem,27,0.9986143241837555,170.93880019999997,1
72,Myeloid_Haem,15,1.0,60.574628600000004,2
72,Progenitor_Haem,12,0.9999980523930297,38.72715571,3
73,Myeloid_Haem,12,1.0,22.013783740000004,1
73,Fibroblast,10,0.999233539518329,18.932483559999998,2
73,Erythroid,10,0.999997912630542,12.0221242,3
74,Endothelial,17,0.655264640136098,65.8914162,1
74,Progenitor_Haem,12,0.999999999994742,43.73625263999999,2
74,Myeloid_Haem,14,1.0,35.4881274,3
75,Mesenchymal cells,5,0.9999999999225302,16.48230058,1
75,Fibroblast,3,0.9999999985819407,10.409368700000002,2
75,Muscle,3,0.9999998914033928,7.5542732500000005,3
76,Erythroid,25,0.44434008807375086,84.35966436,1
76,Myeloid_Haem,15,1.0,50.64907668,2
76,Progenitor_Haem,7,0.9999999999999589,17.630841709999995,3
77,Myeloid_Haem,12,1.0,19.57387844,1
77,Fibroblast,9,0.9992188244286186,18.99641018,2
77,Progenitor_Haem,8,0.9999999999990806,16.06645399,3
78,Muscle,8,0.6574434853695823,17.84678473,1
78,Mesenchymal cells,2,0.9999983508103634,7.888553,2
78,Fibroblast,3,0.9994350326075806,4.17575207,3
79,Erythroid,21,0.052339512655182316,101.15884030000001,1
79,Myeloid_Haem,11,0.9999999999999847,56.94106136999999,2
79,Progenitor_Haem,5,0.9999999622729444,25.469069899999997,3
8,Chondrocyte,8,0.8856235910327943,28.5123388,1
8,Fibroblast,11,0.998958017285111,18.995199730000003,2
8,Progenitor_Haem,8,0.9999999999999981,13.680237299999998,3
80,Epithelial,4,0.9999935475428532,17.1719279,1
80,Epidermis,3,0.9981548062890191,14.0931018,2
80,MK,2,0.9502705305194635,8.6720976,3
81,Myeloid_Haem,27,0.9999999108744423,142.24182166999998,1
81,Lymphoid_Haem,8,0.9999999999990528,31.240137800000003,2
81,Progenitor_Haem,6,0.9999999980049555,17.5657753,3
82,Myeloid_Haem,51,0.9999999252379907,151.9236819,1
82,Progenitor_Haem,12,0.9999999999990106,31.9054579,2
82,Lymphoid_Haem,10,1.0,28.688630500000002,3
83,Myeloid_Haem,20,1.0,34.96250146,1
83,Fibroblast,14,0.9784499993909243,28.44380817,2
83,Progenitor_Haem,10,0.9999999999997194,16.66605206,3
84,Lymphoid_Haem,35,0.999993525976489,118.72201039999997,1
84,Myeloid_Haem,34,1.0,79.43315150999997,2
84,Progenitor_Haem,14,0.9999999999742542,38.17444147,3
85,Chondrocyte,10,0.5620936811990977,47.359473099999995,1
85,Progenitor_Haem,8,0.9999999999999825,16.759357199999997,2
85,Mesenchymal cells,5,0.9999999998934568,14.062774000000001,3
86,Epithelial,4,0.999999993801962,19.325763400000003,1
86,Myeloid_Haem,2,1.0,10.9415708,2
86,Progenitor_Haem,4,1.0,10.1835377,3
87,Muscle,14,0.05076284931342692,90.40049479999999,1
87,Myeloid_Haem,3,1.0,12.5972356,2
87,Mesenchymal cells,2,0.9999996075413856,4.8148435,3
88,Muscle,13,0.00014206017252168648,32.76920661,1
88,Myeloid_Haem,7,0.9999936530804879,11.7853242,2
88,Erythroid,4,0.9468536072452531,7.119790500000001,3
89,Chondrocyte,7,0.5320766027043435,14.0382249,1
89,Fibroblast,6,0.9974169294480506,14.037426329999999,2
89,Progenitor_Haem,2,0.9999999999997752,6.6290062999999995,3
9,Fibroblast,8,0.9998659487999694,16.2124386,1
9,Myeloid_Haem,7,1.0,10.3893925,2
9,Erythroid,7,0.9999999520464644,9.28290264,3
90,Muscle,3,0.9839890245939554,8.8931925,1
90,Mesenchymal cells,1,0.9999979533301935,5.719163,2
90,Lymphoid_Haem,1,0.9999999999993355,3.3418505,3
91,Epithelial,3,0.9935120147985355,12.7163434,1
91,Lymphoid_Haem,3,0.9999999936119174,11.091156519999998,2
91,Endothelial,1,0.9995459415871615,4.778746,3
92,Progenitor_Haem,30,0.9951422691859062,146.19989759999999,1
92,Myeloid_Haem,36,0.9999999999999997,114.56413380000001,2
92,MK,9,0.03528240237217284,84.673799,3
93,Muscle,13,0.9201773242922002,28.284104999999997,1
93,Myeloid_Haem,14,1.0,15.811132329999996,2
93,Epithelial,5,0.9999999764909985,12.9403367,3
94,Erythroid,23,4.4149686315577185e-05,140.6082575,1
94,Myeloid_Haem,9,0.9999999961247771,53.021892900000005,2
94,Progenitor_Haem,4,0.99998420223713,18.7518738,3
95,Myeloid_Haem,35,0.9999999999976641,165.23773280000006,1
95,Progenitor_Haem,25,0.997835182919738,90.73949305999999,2
95,Lymphoid_Haem,16,0.9999999999999584,62.963643860000005,3
96,Erythroid,16,0.8144434771417792,47.6820819,1
96,Myeloid_Haem,8,1.0,36.9070957,2
96,Epithelial,4,0.9999803305846772,9.7166832,3
97,Endothelial,16,0.3565399412680787,82.87196030000001,1
97,Myeloid_Haem,12,1.0,47.1992007,2
97,Progenitor_Haem,8,0.9999999999356913,29.810194939999995,3
98,Myeloid_Haem,50,0.9999999375908382,216.1672448399999,1
98,Lymphoid_Haem,29,0.9999999715603668,118.2573895,2
98,Progenitor_Haem,18,0.9999999589054165,70.4177908,3
99,Erythroid,25,0.09381314328553644,77.29778984999999,1
99,Myeloid_Haem,17,1.0,57.739852230000004,2
99,Muscle,13,0.5039626984115931,22.084985420000002,3
