,FACS_Sorting,Age,Method,Multiplexed,Dataset,Anatomical_Site,Organ,10X_Chemistry,Donor_ID,Accession_ID,Organism,Sample_ID,Sex,Expected_Donors,Study,Technology,Age(PCW)
91,Total,11.5,3GEX,No,Linnarson,Frontotemporal_cortex,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X209_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
92,Total,11.5,3GEX,No,Linnarson,Upper_cortex,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X208_8,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
93,Total,11.5,3GEX,No,Linnarson,Upper_cortex,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X208_7,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
94,Total,11.5,3GEX,No,Linnarson,Occipital_cortex,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X208_6,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
95,Total,11.5,3GEX,No,Linnarson,Occipital_cortex,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X208_5,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
96,Total,11.5,3GEX,No,Linnarson,Lower_cortex,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X208_4,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
97,Total,11.5,3GEX,No,Linnarson,Lower_cortex,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X208_3,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
98,Total,11.5,3GEX,No,Linnarson,Frontotemporal_cortex,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X208_2,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
99,Total,11.5,3GEX,No,Linnarson,Spinal_cord_lumbar,Brain,10x3'v2,XDD:358,EGAD00001006049,Human,10X207_4,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
100,Total,5.3,3GEX,No,Linnarson,Heart,Brain,10x3'v2,XHU:355,EGAD00001006049,Human,10X202_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,5.3
101,Total,11.5,3GEX,No,Linnarson,Cerebellum,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X207_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
102,Total,11.5,3GEX,No,Linnarson,Cerebellum,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X207_3,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
103,Total,5.3,3GEX,No,Linnarson,Spinal_cord,Brain,10x3'v2,XHU:355,EGAD00001006049,Human,10X201_2,unknown,1,Braun_et_al_2023,10X_scRNA-seq,5.3
104,Total,5.3,3GEX,No,Linnarson,Heart,Brain,10x3'v2,XHU:355,EGAD00001006049,Human,10X202_2,unknown,1,Braun_et_al_2023,10X_scRNA-seq,5.3
105,Total,5.3,3GEX,No,Linnarson,Spinal_cord,Brain,10x3'v2,XHU:355,EGAD00001006049,Human,10X201_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,5.3
106,Total,6.9,3GEX,No,Linnarson,Cortical_hem,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X200_2,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
107,Total,11.5,3GEX,No,Linnarson,Cerebellum,Brain,10x3'v3,XDD:358,EGAD00001006049,Human,10X207_2,unknown,1,Braun_et_al_2023,10X_scRNA-seq,11.5
108,Total,6.9,3GEX,No,Linnarson,Medulla,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X200_3,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
109,Total,6.9,3GEX,No,Linnarson,Cortex,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X200_1,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
110,Total,6.9,3GEX,No,Linnarson,Thalamus,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X199_8,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
111,Total,6.9,3GEX,No,Linnarson,Thalamus,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X199_7,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
112,Total,6.9,3GEX,No,Linnarson,Thalamus,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X199_5,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
113,Total,6.9,3GEX,No,Linnarson,Pons,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X199_4,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
114,Total,6.9,3GEX,No,Linnarson,Pons,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X199_3,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
115,Total,6.9,3GEX,No,Linnarson,Cerebellum,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X199_2,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
116,Total,6.9,3GEX,No,Linnarson,Striatum,Brain,10x3'v3,BRC2191,EGAD00001006049,Human,10X197_5,unknown,1,Braun_et_al_2023,10X_scRNA-seq,6.9
